Name,Price,Age (Months),Mkt Share %,Avg Bench %,Value %,User Rating %
RTX 5060,524223865th,1199,299,61.246,42.797,105
RTX 5060-Ti,585899059th,1299,1.9998,71.456,44.598,103
RTX 5070,980620231st,1499,2.9999,98.583,36.793,100
RTX 4060-Ti,678319248th,3594,1.0996,60.952,32.888,98
RTX 4070,1023253329th,3794,1.2498,8069,28.680,98
RTX 4060,616736654th,3495,1.8699,50.948,30.285,97
GTX 1660S (Super),306834187th,7878,1.2197,29.927,35.692,97
RTX 3070,503886467th,6682,2.4100,61.754,44.798,96
RTX 3060,712317745th,6284,3.18100,4238,21.558,96
RTX 3080,1117847624th,6782,1.8399,78.971,25.871,94
RTX 3060-Ti,495961168th,6583,1.9199,53.649,39.595,94
RTX 4070-Ti,190730569th,4092,0.7395,10190,19.350,94
RTX 4090,524085001st,4391,0.7795,155132,10.812,94
RTX 3050,462548670th,5188,0.5992,3128,24.565,93
RTX 4080,246693085th,4291,0.5992,122109,18.143,91
GTX 1060-6GB,461022171st,11856,0.8797,23.722,18.847,88
RTX 2070S (Super),994512631st,8277,0.8397,47.844,17.641,87
RTX 2060,405576177th,8772,1.1797,37.233,33.590,87
RTX 2060S (Super),886581036th,8277,0.5493,41.437,1739,87
GTX 1650S (Super),531948664th,7878,0.3988,24.422,16.838,86
GTX 1660-Ti,382756380th,8674,0.6492,31.829,30.485,81
GTX 1050-Ti,308376086th,11459,1.1594,12.211,14.525,79
GTX 1650,462548670th,8475,1.0295,18.117,14.324,79
RX 580,256645990th,10863,0.7593,21.519,30.786,78
GTX 1070,461022171st,11956,1.0998,33.531,26.573,78
GTX 1080-Ti,613668256th,11061,0.7194,51.946,30.986,77
RX 590,,8971,0.0773,23.722,,76
GTX 1660,262119690th,8574,0.3591,28.626,39.995,76
RTX 2080S (Super),481976269th,8177,0.4190,53.847,40.896,74
RTX 4070-S (Super),1204192821st,2796,0.8596,9179,27.677,74
RTX 5070-Ti,1511011515th,1498,2.1498,11976,28.980,74
RTX 2080-Ti,1210375821st,9171,0.4492,63.653,19.250,73
RTX 3090,289719243rd,6782,0.6493,87.476,1113,72
GTX 1080,599791357th,11956,0.6997,4339,26.271,72
GTX 1070-Ti,490348668th,10267,0.3888,39.336,29.382,70
RX 5700,,8276,0.0371,35.834,,70
GTX 970,,14046,0.3690,20.619,,69
GTX 1060-3GB,215863293rd,11757,0.691,21.720,36.793,68
RTX 2070,1016098930th,9071,0.6294,42.738,15.330,67
RX 570,123273399th,10863,0.4590,18.615,55.398,67
GTX 980-Ti,,13250,0.0882,32.929,,66
RX 480,,11956,0.0574,19.115,,66
RTX 3070-Ti,715663645th,5986,0.9696,66.258,33.891,66
GTX 980,,14046,0.0977,24.922,,65
RTX 2080,1133281824th,9171,0.390,51.445,16.637,65
RTX 4070-TS (Ti-Super),1657505512th,2796,0.4794,10597,23.163,65
RTX 5080,207382868th,1598,1.7996,13988,24.565,65
R9 380,,13152,0.0159,1413,,63
RTX 5090,593616081st,1598,0.7290,183108,11.214,63
R9 390,,13152,0.0153,20.619,,63
