GPU_Category,Vendor/Model_Title,Model_Price_IDR,Average_Category_Price_IDR
Arc B580,MAXSUN Intel ARC B580 12GB GDDR6 Milestone 12G (Bold Red Accents) - DUAL FAN - Garansi 3 Thn,4950000,5575000
Arc B580,SPARKLE Intel ARC B580 12GB GDDR6 Titan OC - BLUE BREATHING LIGHT - TRIPLE FAN - Garansi 3Thn,4950000,5575000
Arc B580,MAXSUN Intel ARC B580 12GB GDDR6 iCraft 12G (White Edition) - ARGB LIGHTING - TRIPLE FAN - Garansi 3 Thn,5850000,5575000
Arc B580,MAXSUN Intel ARC B580 12GB GDDR6 iCraft 12G (White Edition) - ARGB LIGHTING - TRIPLE FAN - Garansi 3 Thn,5850000,5575000
Arc B580,ASRock Intel ARC B580 12GB GDDR6 - Challenger 12GB OC,5875000,5575000
Arc B580,ASRock Intel ARC B580 12GB GDDR6 - Steel Legend 12GB OC,5975000,5575000
GeForce GT 1030,Biostar GeForce GT 1030 2GB DDR5 64bit,786000,1287556
GeForce GT 1030,Biostar GeForce GT 1030 4GB DDR4,915000,1287556
GeForce GT 1030,GALAX GeForce GT 1030 2GB GDDR4 - Garansi 3 Thn,1040000,1287556
GeForce GT 1030,Gigabyte GeForce GT 1030 2GB DDR4 - GV-N1030D4-2GL,1117000,1287556
GeForce GT 1030,GALAX GeForce GT 1030 2GB GDDR5 - Garansi 3 Thn,1160000,1287556
GeForce GT 1030,Inno3D Geforce GT 1030 2GB GDDR5 Heatsink - Garansi 3 Thn,1190000,1287556
GeForce GT 1030,Asus GeForce GT 1030 2GB DDR5,1540000,1287556
GeForce GT 1030,Colorful GeForce GT 1030 4GB DDR4 - 4G-V,1750000,1287556
GeForce GT 1030,MSI GeForce GT 1030 4GB DDR4 - AERO ITX 4GD4 OC,2090000,1287556
GeForce GT 730,VenomRX GeForce GT 730 4GB DDR3,615000,890000
GeForce GT 730,Asus GeForce GT 730 2GB DDR5 64 Bit,1165000,890000
GeForce GTX 1050 Ti,Arktek Geforce GTX 1050 Ti 4GB GDDR5 Fusion - DUAL FAN - Garansi 2 Thn,1880000,2226667
GeForce GTX 1050 Ti,PELADN GeForce GTX 1050 Ti 4GB GDDR5 KaiTian - DUAL FAN - Garansi 2 Thn,2300000,2226667
GeForce GTX 1050 Ti,PELADN GeForce GTX 1050 Ti 4GB GDDR5 KaiTian (White Edition) - DUAL FAN - Garansi 2 Thn,2500000,2226667
GeForce GTX 1650,VenomRX GeForce GTX 1650M 4GB GDDR5,1690000,2047000
GeForce GTX 1650,VenomRX GeForce GTX 1650M 4GB GDDR6,1725000,2047000
GeForce GTX 1650,GALAX Geforce GTX 1650 4GB GDDR6 EX PLUS (1-Click OC) - DUAL FAN - Garansi 3 Thn,2050000,2047000
GeForce GTX 1650,Inno3D GeForce GTX 1650 4GB GDDR6 TWIN X2 OC V3 - DUAL FAN - Garansi 3 Thn,2150000,2047000
GeForce GTX 1650,Asus GeForce GTX 1650 4GB DDR6-P EVO - Dual OC Edition,2620000,2047000
GeForce GTX 1660 SUPER,VenomRX GeForce GTX 1660 SUPER 6GB GDDR6,2530000,2976667
GeForce GTX 1660 SUPER,PELADN GeForce GTX 1660 SUPER 6GB GDDR6 KaiTian - DUAL FAN - Garansi 2 Thn,3200000,2976667
GeForce GTX 1660 SUPER,PELADN GeForce GTX 1660 SUPER 6GB GDDR6 KaiTian - DUAL FAN - Garansi 2 Thn,3200000,2976667
GeForce GTX 1660 Ti,Arktek Geforce GTX 1660 Ti 6GB GDDR6 Matrix - DUAL FAN - Garansi 2 Thn,2950000,3066667
GeForce GTX 1660 Ti,Arktek Geforce GTX 1660 Ti 6GB GDDR6 Matrix - DUAL FAN - Garansi 2 Thn,2950000,3066667
GeForce GTX 1660 Ti,GALAX GeForce GTX 1660 Ti 6GB GDDR6 (1-Click OC) - DUAL FAN - Garansi 3 Thn,3300000,3066667
GeForce GTX 750 Ti,VenomRX GeForce GTX 750 Ti 4GB DDR5,1180000,1180000
GeForce RTX 3050 6 GB,Gainward GeForce RTX 3050 6GB GDDR6 - Pegasus,3210000,3752231
GeForce RTX 3050 6 GB,Zotac GeForce RTX 3050 6GB GDDR6 LP - Dual Fan,3390000,3752231
GeForce RTX 3050 6 GB,PNY GeForce RTX 3050 6GB GDDR6 VERTO Dual Fan,3490000,3752231
GeForce RTX 3050 6 GB,Zotac GeForce RTX 3050 6GB GDDR6 Twin Edge OC,3585000,3752231
GeForce RTX 3050 6 GB,Colorful GeForce RTX 3050 6GB GDDR6 6GB-V,3650000,3752231
GeForce RTX 3050 6 GB,Palit GeForce RTX 3050 6GB GDDR6 StormX,3690000,3752231
GeForce RTX 3050 6 GB,Gigabyte GeForce RTX 3050 6GB GDDR6 Windforce V2 - GV-N3050WF2V2-6GD,3750000,3752231
GeForce RTX 3050 6 GB,Inno3D GeForce RTX 3050 6GB GDDR6 TWIN X2 V2 - DUAL FAN - Garansi 3 Thn,3750000,3752231
GeForce RTX 3050 6 GB,GALAX GeForce RTX 3050 6GB GDDR6 EX (1-Click OC) - DUAL FAN - Garansi 3 Thn,3800000,3752231
GeForce RTX 3050 6 GB,Gigabyte GeForce RTX 3050 6GB GDDR6 Windforce OC V2 - GV-N3050WF2OCV2-6GD,3890000,3752231
GeForce RTX 3050 6 GB,MSI GeForce RTX 3050 6GB GDDR6 - Ventus 2X E OC,4035000,3752231
GeForce RTX 3050 6 GB,Asus GeForce RTX 3050 6GB GDDR6 - Dual OC Edition,4249000,3752231
GeForce RTX 3050 6 GB,Asus GeForce RTX 3050 6GB GDDR6 - Low Profile OC Edition,4290000,3752231
GeForce RTX 3050 8 GB,Zotac GeForce RTX 3050 8GB GDDR6 ECO SOLO,3990000,4705833
GeForce RTX 3050 8 GB,Gigabyte GeForce RTX 3050 8GB GDDR6 Windforce V2 - GV-N3050WF2V2-8GD,4730000,4705833
GeForce RTX 3050 8 GB,Colorful GeForce RTX 3050 8GB GDDR6 NB DUO V2-V,4750000,4705833
GeForce RTX 3050 8 GB,Gigabyte GeForce RTX 3050 8GB GDDR6 Windforce OC V2 - GV-N3050WF2OCV2-8GD,4850000,4705833
GeForce RTX 3050 8 GB,MSI GeForce RTX 3050 8GB GDDR6 - Ventus 2X XS OC,4940000,4705833
GeForce RTX 3050 8 GB,iGame GeForce RTX 3050 8GB GDDR6 Ultra W DUO OC V2-V,4975000,4705833
GeForce RTX 3060 12 GB,PNY GeForce RTX 3060 12GB DDR6 VERTO Dual Fan LHR,4542000,5653375
GeForce RTX 3060 12 GB,MAXSUN GeForce RTX 3060 12GB GDDR6 Terminator 12G S1 - DUAL FAN - Garansi 3 Thn,4670000,5653375
GeForce RTX 3060 12 GB,Asus GeForce RTX 3060 12GB GDDR6 - Dual-V2 OC,5595000,5653375
GeForce RTX 3060 12 GB,Colorful GeForce RTX 3060 12GB GDDR6 NB DUO 12G V4 L-V,5650000,5653375
GeForce RTX 3060 12 GB,MSI GeForce RTX 3060 12GB GDDR6 - Ventus 2X OC,5750000,5653375
GeForce RTX 3060 12 GB,Inno3D GeForce RTX 3060 12GB GDDR6 TWIN X2 - DUAL FAN - Garansi 3 Thn,6050000,5653375
GeForce RTX 3060 12 GB,GALAX GeForce RTX 3060 12GB GDDR6 (1-Click OC) - DUAL FAN - Garansi 3 Thn,6150000,5653375
GeForce RTX 3060 12 GB,Gigabyte GeForce RTX 3060 12GB GDDR6 Windforce OC Rev2.0 - GV-N3060WF2OC-12GD,6820000,5653375
GeForce RTX 4060,MAXSUN GeForce RTX 4060 8GB GDDR6 Terminator B 8G - Cyber RGB - DUAL FAN - Garansi 3 Thn,5080000,5661000
GeForce RTX 4060,PNY GeForce RTX 4060 8GB GDDR6 VERTO Dual Fan,5220000,5661000
GeForce RTX 4060,PNY GeForce RTX 4060 8GB GDDR6 XLR8 Gaming VERTO OC White Dual Fan,5270000,5661000
GeForce RTX 4060,PNY GeForce RTX 4060 8GB GDDR6 XLR8 Gaming VERTO EPIC-X RGB Triple Fan,5440000,5661000
GeForce RTX 4060,MAXSUN GeForce RTX 4060 8GB GDDR6 iCraft OC 8G - Skylight RGB - TRIPLE FAN - Garansi 3 Thn,5450000,5661000
GeForce RTX 4060,Colorful GeForce RTX 4060 8GB GDDR6 DUO 8GB V5-V,5650000,5661000
GeForce RTX 4060,Colorful GeForce RTX 4060 8GB GDDR6 NB DUO-V3,5950000,5661000
