Name,Image_URL,Release Date,Bus,Memory,GPU Clock,Memory Clock,Cores / TMUs / ROPs
Radeon RX 9070 XT,https://tpucdn.com/gpu-specs/images-new/c/4229-front-list.jpg,"Mar 6th, 2025",PCIe 5.0 x16,16 GB / GDDR6 / 256 bit,2970 MHz,2518 MHz,4096 / 256 / 128
GeForce RTX 5090,https://tpucdn.com/gpu-specs/images-new/c/4216-front-list.jpg,"Jan 30th, 2025",PCIe 5.0 x16,32 GB / GDDR7 / 512 bit,2407 MHz,1750 MHz,21760 / 680 / 176
GeForce RTX 5070,https://tpucdn.com/gpu-specs/images-new/c/4218-front-list.jpg,"Mar 4th, 2025",PCIe 5.0 x16,12 GB / GDDR7 / 192 bit,2512 MHz,1750 MHz,6144 / 192 / 80
Radeon RX 9060 XT 16 GB,https://tpucdn.com/gpu-specs/images-new/c/4293-front-list.jpg,"Jun 4th, 2025",PCIe 5.0 x16,16 GB / GDDR6 / 128 bit,3130 MHz,2518 MHz,2048 / 128 / 64
GeForce RTX 5070 Ti,https://tpucdn.com/gpu-specs/images-new/c/4243-front-list.jpg,"Feb 20th, 2025",PCIe 5.0 x16,16 GB / GDDR7 / 256 bit,2452 MHz,1750 MHz,8960 / 280 / 96
GeForce RTX 5060,https://tpucdn.com/gpu-specs/images-new/c/4219-front-list.jpg,"May 19th, 2025",PCIe 5.0 x8,8 GB / GDDR7 / 128 bit,2497 MHz,1750 MHz,3840 / 120 / 48
GeForce RTX 5060 Ti 16 GB,https://tpucdn.com/gpu-specs/images-new/c/4292-front-list.jpg,"Apr 16th, 2025",PCIe 5.0 x8,16 GB / GDDR7 / 128 bit,2572 MHz,1750 MHz,4608 / 144 / 48
GeForce RTX 5080,https://tpucdn.com/gpu-specs/images-new/c/4217-front-list.jpg,"Jan 30th, 2025",PCIe 5.0 x16,16 GB / GDDR7 / 256 bit,2617 MHz,1875 MHz,10752 / 336 / 112
GeForce RTX 3060 12 GB,https://tpucdn.com/gpu-specs/images-new/c/3682-front-list.jpg,"Jan 12th, 2021",PCIe 4.0 x16,12 GB / GDDR6 / 192 bit,1777 MHz,1875 MHz,3584 / 112 / 48
GeForce RTX 3080,https://tpucdn.com/gpu-specs/images-new/c/3621-front-list.jpg,"Sep 1st, 2020",PCIe 4.0 x16,10 GB / GDDR6X / 320 bit,1710 MHz,1188 MHz,8704 / 272 / 96
